Class,MR,MutantType,Live,Killed,Score
MethodCollection2,aggregate,logical,0,3,1.0
MethodCollection2,aggregate,assignment,0,2,1.0
MethodCollection2,aggregate,deletion,0,6,1.0
MethodCollection2,aggregate,arithmetic,1,15,0.9375
MethodCollection2,aggregate,relational,0,4,1.0
MethodCollection2,aggregate,conditional,0,1,1.0
MethodCollection2,aggregate,shift,0,0,NaN
MethodCollection2,aggregate,logical,0,3,1.0
MethodCollection2,aggregate,assignment,0,2,1.0
MethodCollection2,aggregate,deletion,0,10,1.0
MethodCollection2,aggregate,arithmetic,3,54,0.9473684210526315
MethodCollection2,aggregate,relational,0,22,1.0
MethodCollection2,aggregate,conditional,0,4,1.0
MethodCollection2,aggregate,shift,0,0,NaN
MethodCollection2,aggregate,logical,0,8,1.0
MethodCollection2,aggregate,assignment,0,0,NaN
MethodCollection2,aggregate,deletion,1,35,0.9722222222222222
MethodCollection2,aggregate,arithmetic,0,4,1.0
MethodCollection2,aggregate,relational,0,5,1.0
MethodCollection2,aggregate,conditional,0,1,1.0
MethodCollection2,aggregate,shift,0,0,NaN
MethodCollection2,aggregate,logical,0,1,1.0
MethodCollection2,aggregate,assignment,0,0,NaN
MethodCollection2,aggregate,deletion,0,4,1.0
MethodCollection2,aggregate,arithmetic,0,23,1.0
MethodCollection2,aggregate,relational,0,4,1.0
MethodCollection2,aggregate,conditional,0,1,1.0
MethodCollection2,aggregate,shift,0,0,NaN
MethodCollection2,aggregate,logical,0,1,1.0
MethodCollection2,aggregate,assignment,0,8,1.0
MethodCollection2,aggregate,deletion,0,14,1.0
MethodCollection2,aggregate,arithmetic,0,10,1.0
MethodCollection2,aggregate,relational,1,10,0.9090909090909091
MethodCollection2,aggregate,conditional,0,2,1.0
MethodCollection2,aggregate,shift,0,0,NaN
MethodCollection2,aggregate,logical,0,3,1.0
MethodCollection2,aggregate,assignment,0,0,NaN
MethodCollection2,aggregate,deletion,0,6,1.0
MethodCollection2,aggregate,arithmetic,0,23,1.0
MethodCollection2,aggregate,relational,0,18,1.0
MethodCollection2,aggregate,conditional,0,3,1.0
MethodCollection2,aggregate,shift,0,0,NaN
MethodCollection2,aggregate,logical,0,5,1.0
MethodCollection2,aggregate,assignment,0,0,NaN
MethodCollection2,aggregate,deletion,2,6,0.75
MethodCollection2,aggregate,arithmetic,1,8,0.8888888888888888
MethodCollection2,aggregate,relational,0,11,1.0
MethodCollection2,aggregate,conditional,0,2,1.0
MethodCollection2,aggregate,shift,0,0,NaN
MethodCollection2,aggregate,logical,0,1,1.0
MethodCollection2,aggregate,assignment,0,0,NaN
MethodCollection2,aggregate,deletion,0,5,1.0
MethodCollection2,aggregate,arithmetic,0,7,1.0
MethodCollection2,aggregate,relational,2,9,0.8181818181818182
MethodCollection2,aggregate,conditional,0,2,1.0
MethodCollection2,aggregate,shift,0,0,NaN
MethodCollection2,aggregate,logical,0,1,1.0
MethodCollection2,aggregate,assignment,0,0,NaN
MethodCollection2,aggregate,deletion,0,5,1.0
MethodCollection2,aggregate,arithmetic,0,6,1.0
MethodCollection2,aggregate,relational,0,11,1.0
MethodCollection2,aggregate,conditional,0,2,1.0
MethodCollection2,aggregate,shift,0,0,NaN
MethodCollection2,aggregate,logical,0,2,1.0
MethodCollection2,aggregate,assignment,0,0,NaN
MethodCollection2,aggregate,deletion,0,6,1.0
MethodCollection2,aggregate,arithmetic,0,6,1.0
MethodCollection2,aggregate,relational,0,11,1.0
